"['CBP-1645', 'CBP-1660', 'CBP-1670', 'CBP-1652', 'CBP-3061']",0.638
"['CBP-1650', 'CBP-1651', 'atr-type-strain', 'CBP-1668', 'CBP-1681', 'CBP-3063', 'CBP-1658', 'CBP-1661', 'CBP-2465', 'CBP-1678', 'CBP-3051', 'CBP-1646', 'CBP-3056', 'CBP-1684', 'CBP-1691', 'CBP-1771', 'CBP-2101', 'CBP-1786', 'CBP-2329', 'CBP-1790', 'CBP-2330', 'CBP-1800', 'CBP-1797', 'CBP-2331', 'CBP-2384', 'CBP-1789', 'CBP-2554', 'CBP-2387', 'CBP-2462', 'CBP-1803']",0.514
"['CBP-1687', 'CBP-1746', 'CBP-1731', 'CBP-3057', 'CBP-1741', 'CBP-1742', 'CBP-3049', 'CBP-1689', 'CBP-3060', 'CBP-1682', 'CBP-1762', 'CBP-3053', 'CBP-3054', 'CBP-3055', 'CBP-1767', 'CBP-1774', 'CBP-1772', 'CBP-1796', 'CBP-2075', 'CBP-1801']",0.584
"['CBP-1690', 'CBP-1752', 'CBP-1776', 'CBP-1777', 'CBP-3058', 'CBP-1760']",0.638
['CBP-3062'],0.638
"['CBP-1669', 'CBP-1671', 'CBP-1672', 'CBP-2098', 'CBP-2099']",0.638
"['CBP-2062', 'CBP-2065', 'CBP-1724']",0.638
"['CBP-1649', 'CBP-2064', 'CBP-2067', 'CBP-2069', 'CBP-2063', 'CBP-2066', 'CBP-3064', 'CBP-3065', 'CBP1642']",0.638
"['CBP-1650', 'CBP-1651', 'atr-type-strain', 'CBP-1668', 'CBP-1681', 'CBP-3063']",0.072
"['CBP-1658', 'CBP-1661', 'CBP-2465', 'CBP-1678', 'CBP-3051', 'CBP-1646', 'CBP-3056', 'CBP-1684', 'CBP-1691']",0.028
"['CBP-1771', 'CBP-2101', 'CBP-1786', 'CBP-2329', 'CBP-1790', 'CBP-2330', 'CBP-1800', 'CBP-1797', 'CBP-2331', 'CBP-2384', 'CBP-1789', 'CBP-2554', 'CBP-2387', 'CBP-2462', 'CBP-1803']",0.03
"['CBP-1645', 'CBP-1660', 'CBP-1670', 'CBP-1652', 'CBP-3061', 'CBP-1650', 'CBP-1651', 'atr-type-strain', 'CBP-1668', 'CBP-1681', 'CBP-3063', 'CBP-1658', 'CBP-1661', 'CBP-2465', 'CBP-1678', 'CBP-3051', 'CBP-1646', 'CBP-3056', 'CBP-1684', 'CBP-1691', 'CBP-1771', 'CBP-2101', 'CBP-1786', 'CBP-2329', 'CBP-1790', 'CBP-2330', 'CBP-1800', 'CBP-1797', 'CBP-2331', 'CBP-2384', 'CBP-1789', 'CBP-2554', 'CBP-2387', 'CBP-2462', 'CBP-1803', 'CBP-1687', 'CBP-1746', 'CBP-1731', 'CBP-3057', 'CBP-1741', 'CBP-1742', 'CBP-3049', 'CBP-1689', 'CBP-3060', 'CBP-1682', 'CBP-1762', 'CBP-3053', 'CBP-3054', 'CBP-3055', 'CBP-1767', 'CBP-1774', 'CBP-1772', 'CBP-1796', 'CBP-2075', 'CBP-1801', 'CBP-1690', 'CBP-1752', 'CBP-1776', 'CBP-1777', 'CBP-3058', 'CBP-1760', 'CBP-3062', 'CBP-1669', 'CBP-1671', 'CBP-1672', 'CBP-2098', 'CBP-2099', 'CBP-2062', 'CBP-2065', 'CBP-1724', 'CBP-1649', 'CBP-2064', 'CBP-2067', 'CBP-2069', 'CBP-2063', 'CBP-2066', 'CBP-3064', 'CBP-3065', 'CBP1642']",0.362
"['CBP-1658', 'CBP-1661', 'CBP-2465', 'CBP-1678', 'CBP-3051', 'CBP-1646', 'CBP-3056', 'CBP-1684', 'CBP-1691', 'CBP-1771', 'CBP-2101', 'CBP-1786', 'CBP-2329', 'CBP-1790', 'CBP-2330', 'CBP-1800', 'CBP-1797', 'CBP-2331', 'CBP-2384', 'CBP-1789', 'CBP-2554', 'CBP-2387', 'CBP-2462', 'CBP-1803']",0.042
"['CBP-1650', 'CBP-1651', 'atr-type-strain', 'CBP-1668', 'CBP-1681', 'CBP-3063', 'CBP-1658', 'CBP-1661', 'CBP-2465', 'CBP-1678', 'CBP-3051', 'CBP-1646', 'CBP-3056', 'CBP-1684', 'CBP-1691', 'CBP-1771', 'CBP-2101', 'CBP-1786', 'CBP-2329', 'CBP-1790', 'CBP-2330', 'CBP-1800', 'CBP-1797', 'CBP-2331', 'CBP-2384', 'CBP-1789', 'CBP-2554', 'CBP-2387', 'CBP-2462', 'CBP-1803', 'CBP-1687', 'CBP-1746', 'CBP-1731', 'CBP-3057', 'CBP-1741', 'CBP-1742', 'CBP-3049', 'CBP-1689', 'CBP-3060', 'CBP-1682', 'CBP-1762', 'CBP-3053', 'CBP-3054', 'CBP-3055', 'CBP-1767', 'CBP-1774', 'CBP-1772', 'CBP-1796', 'CBP-2075', 'CBP-1801']",0.052
"['CBP-1658', 'CBP-1661', 'CBP-2465', 'CBP-1678', 'CBP-3051', 'CBP-1646']",0.002
"['CBP-3056', 'CBP-1684', 'CBP-1691']",0.002
"['CBP-1687', 'CBP-1746', 'CBP-1731', 'CBP-3057', 'CBP-1741', 'CBP-1742', 'CBP-3049', 'CBP-1689', 'CBP-3060', 'CBP-1682']",0.002
"['CBP-1762', 'CBP-3053', 'CBP-3054', 'CBP-3055', 'CBP-1767', 'CBP-1774', 'CBP-1772', 'CBP-1796', 'CBP-2075', 'CBP-1801']",0.002
